标题,区域,地段,小区,空间,面积,朝向,装修,楼层,建成时间,构筑物,单价每平,总价,关注,距今发布日期
户型方正，采光好，总价便宜，业主安心出售，出行方便,北碚,蔡家,保亿丽景紫园2期公园ONE,3室2厅,87.03平米,南,毛坯,低楼层(共8层),,板楼,"12,410元/平",108,3人关注,5个月以前发布
此房朝中庭，小区环境优美，物业负责,北碚,蔡家,东原嘉阅湾十里琳琅,3室2厅,124.72平米,南,毛坯,低楼层(共17层),,板塔结合,"14,272元/平",178,0人关注,4个月以前发布
户型端正，采光很好，社区环境优美,北碚,蔡家,锦馨苑（二手）,3室2厅,97平米,西南,其他,中楼层(共26层),,板楼,"12,372元/平",120,1人关注,7个月以前发布
两江蔡家，清水洋房，户型方正，视野开阔此价格带车位,北碚,蔡家,锦馨苑洋房,4室2厅,134平米,东南,毛坯,中楼层(共8层),,板楼,"10,224元/平",137,9人关注,一年前发布
精装洋房  户型方正  采光也好,北碚,蔡家,保亿丽景紫园,4室2厅,149.09平米,南,精装,中楼层(共8层),2014年建,塔楼,"11,068元/平",165,23人关注,7个月以前发布
江湾洋房 品质物业 精装修 带家具家电带车位 诚心出售,北碚,蔡家,金科城59区,3室2厅,83.25平米,南,精装,低楼层(共8层),2018年建,板楼,"16,817元/平",140,7人关注,3个月以前发布
业主诚心，环境优美，交通便利，精装三房,北碚,蔡家,金科城59区,3室1厅,91.31平米,南,其他,低楼层(共8层),2018年建,板楼,"15,661元/平",143,0人关注,5个月以前发布
龙湖物业，品质小区，*大阳台，业主诚心出售,北碚,蔡家,名流印象三期,4室2厅,118.25平米,南,毛坯,中楼层(共26层),,塔楼,"12,432元/平",147,0人关注,3个月以前发布
此房已经满两年 南北朝向设计 离地铁近 带车位,北碚,蔡家,中庚城F组团,3室2厅,111.26平米,西南,毛坯,中楼层(共18层),,板楼,"12,853元/平",143,5人关注,7个月以前发布
东原嘉悦湾画江山一线江景4房 视野开阔,北碚,蔡家,东原嘉阅湾画江山,4室2厅,111.45平米,东,毛坯,高楼层(共7层),2017年建,板楼,"13,908元/平",155,15人关注,一年前发布
精装洋房  户型方正  采光也好,北碚,蔡家,保亿丽景紫园,4室2厅,149.09平米,南,精装,中楼层(共8层),2014年建,塔楼,"11,068元/平",165,23人关注,7个月以前发布
此房已经满两年 南北朝向设计 离地铁近 带车位,北碚,蔡家,中庚城F组团,3室2厅,111.26平米,西南,毛坯,中楼层(共18层),,板楼,"12,853元/平",143,5人关注,7个月以前发布
精装修三房，金科品质带车位出售  家具拎包入住,北碚,蔡家,金科城59区,3室2厅,81.67平米,南,精装,中楼层(共8层),,板楼,"20,547元/平",167.8,1人关注,6个月以前发布
金科品质 紧靠嘉陵江 交通便利 各项配套齐,北碚,蔡家,金科城幸福里,3室2厅,97.76平米,南,毛坯,低楼层(共25层),2018年建,板楼,"13,503元/平",132,1人关注,3个月以前发布
两江蔡家，清水洋房，户型方正，视野开阔此价格带车位,北碚,蔡家,锦馨苑洋房,4室2厅,134平米,东南,毛坯,中楼层(共8层),,板楼,"10,224元/平",137,9人关注,一年前发布
江湾洋房 品质物业 精装修 带家具家电带车位 诚心出售,北碚,蔡家,金科城59区,3室2厅,83.25平米,南,精装,低楼层(共8层),2018年建,板楼,"16,817元/平",140,7人关注,3个月以前发布
此房朝中庭，小区环境优美，物业负责,北碚,蔡家,东原嘉阅湾十里琳琅,3室2厅,124.72平米,南,毛坯,低楼层(共17层),,板塔结合,"14,272元/平",178,0人关注,4个月以前发布
户型方正，采光好，总价便宜，业主安心出售，出行方便,北碚,蔡家,保亿丽景紫园2期公园ONE,3室2厅,87.03平米,南,毛坯,低楼层(共8层),,板楼,"12,410元/平",108,3人关注,5个月以前发布
户型端正，视野开阔，洋房小区，采光很好,北碚,蔡家,金科金辉博翠山揽翠,4室2厅,127.57平米,南,其他,中楼层(共8层),2019年建,板塔结合,"14,738元/平",188,2人关注,3个月以前发布
轻轨站洋房，全洋房社区，美丽又安静。,北碚,蔡家,雍林雅苑,4室2厅,157.07平米,南,毛坯,低楼层(共11层),2015年建,板楼,"9,105元/平",143,2人关注,1个月以前发布
项目地处重庆两江新区蔡家组团。小区景观采用简约风格,北碚,蔡家,金科集美嘉悦一期,4室2厅,120.17平米,东南,其他,低楼层(共8层),,板楼,"15,395元/平",185,0人关注,8个月以前发布
曹家湾轻轨房+1楼带前后花园+清水大4房+带车位出售,北碚,蔡家,金科集美嘉悦一期,4室2厅,144.61平米,南,毛坯,低楼层(共8层),,塔楼,"14,730元/平",213,14人关注,5个月以前发布
精装修4房 带家具家电 户型方正 轻轨站旁 交通方便,北碚,蔡家,万科观承一期,4室2厅,124.68平米,东,精装,中楼层(共27层),2018年建,板塔结合,"15,079元/平",188,0人关注,5个月以前发布
两江新区蔡家 花园洋房 业主安心出售，通车库 安心售,北碚,蔡家,保亿丽景紫园,4室2厅,136.6平米,南,毛坯,中楼层(共8层),,塔楼,"11,055元/平",151,3人关注,1个月以前发布
该品牌开发商建造，小区环境好，绿化面积大,北碚,蔡家,保亿丽景紫园2期公园ONE,4室2厅,127.5平米,东南,毛坯,低楼层(共8层),2015年建,板楼,"11,059元/平",141,7人关注,一年前发布
此房纯洋房社区，户型板式结构，带大阳台，楼间距采光,北碚,蔡家,金科金辉博翠山揽翠,4室2厅,139.79平米,南,毛坯,中楼层(共6层),2019年建,板塔结合,"17,169元/平",240,2人关注,6个月以前发布
户型方正，采光很好，环境优美，住家舒适，交通便利,北碚,蔡家,金科集美嘉悦一期,3室2厅,112.89平米,东,毛坯,低楼层(共33层),,塔楼,"12,756元/平",144,6人关注,5个月以前发布
单价便宜，品质开发商，视野开阔,北碚,蔡家,金科金辉博翠山鉴博B,3室2厅,101平米,南,其他,中楼层(共23层),,塔楼,"14,357元/平",145,2人关注,9个月以前发布
高品质小区 业主诚心卖 房龄新 环境好,北碚,蔡家,金科金辉博翠山鉴博B,4室2厅,128.01平米,南,其他,中楼层(共23层),,塔楼,"15,624元/平",200,0人关注,4个月以前发布
金科品质小区，交通便利，业主诚心出售，随时看房。,北碚,蔡家,金科城幸福里,3室2厅,90.83平米,东,精装,高楼层(共26层),,塔楼,"14,863元/平",135,2人关注,4个月以前发布
离轻轨，龙湖天街旁边，看房方便，业主存心卖。,北碚,蔡家,中昂星汇,3室1厅,94.02平米,东南,精装,低楼层(共18层),,塔楼,"12,445元/平",117,15人关注,4个月以前发布
满两年   蔡家   雍林雅苑   坐南朝北    对中庭,北碚,蔡家,雍林雅苑,3室2厅,135平米,南 北,毛坯,高楼层(共11层),2015年建,板楼,"12,445元/平",168,3人关注,一年前发布
幸福里精装洋房 拎包入住 随道随看,北碚,蔡家,金科城幸福里,4室2厅,126.76平米,东南,精装,中楼层(共8层),2019年建,板楼,"12,134元/平",153.8,18人关注,4个月以前发布
小区环境好，品质好，准新房。空气新鲜。,北碚,蔡家,保亿丽景紫园2期公园ONE,3室2厅,98.58平米,东南,毛坯,低楼层(共27层),,板塔结合,"12,681元/平",125,7人关注,5个月以前发布
高品质小区 业主诚心卖 房龄新 环境好,北碚,蔡家,金科金辉博翠山鉴博B,4室2厅,128.01平米,南 西南,其他,中楼层(共23层),,塔楼,"13,671元/平",175,1人关注,4个月以前发布
次新小区+全中庭景观+此价格带车位+无抵押,北碚,蔡家,名流印象,4室2厅,126平米,南,毛坯,中楼层(共26层),2016年建,塔楼,"12,064元/平",152,25人关注,一年前发布
金科品质房+次新小区+近轻轨+业主诚心出售，户型方正,北碚,蔡家,金科集美嘉悦一期,3室2厅,98.09平米,东南,精装,高楼层(共33层),,塔楼,"14,375元/平",141,9人关注,2个月以前发布
金科59区 基装优质三房 业主诚心,北碚,蔡家,金科城59区,3室2厅,99.4平米,东南,精装,中楼层(共8层),2016年建,板楼,"14,065元/平",139.8,30人关注,3个月以前发布
金科城幸福里 4室2厅 南 北,北碚,蔡家,金科城幸福里,4室2厅,137.87平米,南 北,其他,低楼层(共10层),,板楼,"15,232元/平",210,1人关注,4个月以前发布
颐园小区 户型方正 布局合理 业主诚心出售,涪陵,涪陵,颐园小区,2室1厅,67.46平米,东南,简装,中楼层(共12层),,板塔结合,"4,596元/平",31,0人关注,8天以前发布
视野很好 价格便宜  居住人群素质高,璧山,璧山,鸥鹏御府,4室2厅,114.67平米,西南,精装,高楼层(共28层),,塔楼,"9,733元/平",111.6,0人关注,12天以前发布
俊豪城西区洋房，视野开阔，小区环境好。,璧山,璧山,俊豪城西区,3室2厅,110.2平米,南,毛坯,高楼层(共8层),,板塔结合,"8,712元/平",96,1人关注,13天以前发布
秀湖公园旁，视野开阔，采光充足 ，环境优雅,璧山,璧山,金科中央公园城（璧山）5号6号9号门,3室2厅,108平米,东南 南,精装,中楼层(共34层),,塔楼,"9,612元/平",103.8,1人关注,11天以前发布
户型宽敞明亮。精装修，拎包入住。满五唯一 房,璧山,璧山,文星路55号,3室1厅,94.48平米,南,精装,中楼层(共5层),,板楼,"4,393元/平",41.5,0人关注,3天以前发布
恒大精装三房，朝中庭，采光充足，近大型商圈配套成熟,璧山,璧山,恒大绿岛新城,3室2厅,121平米,南,精装,低楼层(共27层),,暂无数据,"7,934元/平",96,3人关注,6天以前发布
俊豪大街，璧山正中商圈位置，交通便利，配套齐全,璧山,璧山,俊豪中央大街（璧山）,2室1厅,77.9平米,西,毛坯,中楼层(共29层),2015年建,塔楼,"8,473元/平",66,3人关注,1个月以前发布
春和景明大3房看中庭，户型方正，楼层适中。,璧山,璧山,嘉陵春和景明99号,3室2厅,100平米,南,毛坯,高楼层(共30层),,板塔结合,"6,700元/平",67,4人关注,14天以前发布
户型方正，高楼层，视野开阔，出行方便。,璧山,璧山,两山丽苑,3室1厅,126.85平米,东南,其他,高楼层(共33层),,板塔结合,"5,897元/平",74.8,1人关注,6天以前发布
生活配套齐全，精装修，拎包入住。居家安静,璧山,璧山,嘉陵春和景明99号,3室1厅,100.4平米,南,精装,高楼层(共30层),,塔楼,"7,949元/平",79.8,0人关注,6天以前发布
恒大E区，小区环境好，内外配套齐全，房子户型好,璧山,璧山,恒大绿岛新城,2室2厅,71平米,南,精装,低楼层(共27层),,板塔结合,"9,578元/平",68,2人关注,6天以前发布
秋实学府温馨精装2房，小区环境好，出入方便,璧山,璧山,秋实学府,2室1厅,70.38平米,南,精装,中楼层(共28层),2016年建,塔楼,"8,781元/平",61.8,1人关注,3天以前发布
家装房，户型方正，出行方便， 人车分流,璧山,璧山,金谷温泉城,3室1厅,73.48平米,东南,精装,低楼层(共32层),2013年建,板塔结合,"7,322元/平",53.8,1人关注,11天以前发布
北街盐巴公司家属院 步梯家装 老小区,璧山,璧山,北街盐巴公司家属院,3室2厅,104.31平米,东南,简装,中楼层(共8层),,暂无数据,"3,528元/平",36.8,4人关注,3个月以前发布
俊豪城西区清水正四房   采光充足    业主诚意出售,璧山,璧山,俊豪城西区,4室2厅,128.36平米,南,毛坯,高楼层(共8层),,板塔结合,"9,349元/平",120,26人关注,5个月以前发布
璧河名都，4房2厅2卫， 望向巴适无遮挡,璧山,璧山,璧河名都,4室2厅,144.71平米,东南,毛坯,高楼层(共32层),,板塔结合,"6,814元/平",98.6,7人关注,6个月以前发布
楼层格局好，视野宽阔，配套设施齐全，交通便利,璧山,璧山,璧青北路504号附1号,3室2厅,102平米,东南,精装,高楼层(共4层),,暂无数据,"3,530元/平",36,4人关注,1个月以前发布
业主自住装修，拎包入住，看房子方便，金科品质,璧山,璧山,金科中央公园城（璧山）5号6号9号门,3室1厅,110.13平米,南,精装,高楼层(共34层),,塔楼,"8,899元/平",98,9人关注,5个月以前发布
业主诚心出售.价格还可以谈. 出行方便.,璧山,璧山,东林大道58号,3室2厅,109.24平米,南 西南,精装,中楼层(共7层),,暂无数据,"4,559元/平",49.8,9人关注,3个月以前发布
璧南河畔，俊豪大街旁，出行方便，住家精装修,璧山,璧山,鑫港湾,4室2厅,125平米,南,精装,低楼层(共28层),,塔楼,"7,111元/平",88.88,0人关注,2天以前发布
南北朝向 。环境好，配套设施齐全，交通便利。,璧山,璧山,璧山绿城上岛,3室2厅,125平米,南,精装,高楼层(共31层),,板塔结合,"6,000元/平",75,2人关注,5天以前发布
该户型方正，采光好，配套齐全。。,璧山,璧山,瀚恩国际社区HIC旺角,3室1厅,87平米,东南,精装,低楼层(共32层),2009年建,塔楼,"7,932元/平",69,0人关注,30天以前发布
经典户型，望向舒适，户型方正无浪费，适应居住。,璧山,璧山,璧玉城,3室1厅,85.96平米,南 西南,毛坯,高楼层(共27层),,板塔结合,"5,910元/平",50.8,3人关注,15天以前发布
视野开阔采光好，交通便利，生活配套施舍齐全,璧山,璧山,金科昆翔黛山悦府(二手),3室2厅,99平米,南,毛坯,低楼层(共16层),,板塔结合,"8,081元/平",80,0人关注,6天以前发布
瀛嘉帝逸城 3室2厅 东南,璧山,璧山,瀛嘉帝逸城,3室2厅,102平米,东南,精装,低楼层(共33层),,塔楼,"7,824元/平",79.8,0人关注,7天以前发布
璧中旁，高层住宅享受别墅环境 精装套三 随时看房..,璧山,璧山,观澜苑二期,4室2厅,134平米,南 西南,毛坯,32层,,塔楼,"7,986元/平",107,0人关注,8天以前发布
此房满2年，楼层好，视野开阔，采光充足，交通便利。,璧山,璧山,观澜苑二期,4室2厅,130.65平米,南,毛坯,33层,,塔楼,"8,037元/平",105,0人关注,6天以前发布
两山丽苑清水三室两厅两卫，户型方正，中间楼层,璧山,璧山,两山丽苑,3室1厅,96平米,南,其他,高楼层(共33层),,板塔结合,"5,396元/平",51.8,0人关注,6天以前发布
经典户型，望向舒适，户型方正无浪费，适应居住。,璧山,璧山,璧玉城,2室1厅,88.82平米,南 西南,毛坯,低楼层(共32层),2018年建,板塔结合,"5,855元/平",52,2人关注,15天以前发布
经典户型，望向舒适，户型方正无浪费，适应居住。,璧山,璧山,璧玉城,2室1厅,108.54平米,西南 南,毛坯,高楼层(共27层),,板塔结合,"6,192元/平",67.2,0人关注,15天以前发布
户型方正，视野开阔采光好，交通便利，小区环境好,璧山,璧山,秀湖鹭岛,2室1厅,64.28平米,西,毛坯,中楼层(共32层),,板塔结合,"8,650元/平",55.6,1人关注,13天以前发布
沿河西路南段 2室2厅 南,璧山,璧山,沿河西路南段,2室2厅,52平米,南,简装,中楼层(共5层),,暂无数据,"4,770元/平",24.8,3人关注,10天以前发布
金科中央公园城（璧山）5号6号9号门 3室2厅 东南,璧山,璧山,金科中央公园城（璧山）5号6号9号门,3室2厅,108.02平米,东南,精装,高楼层(共34层),,塔楼,"9,628元/平",104,2人关注,12天以前发布
央企大盘，品质好配套齐全，绿化好配套齐全出行便利,璧山,璧山,中国铁建东林道,4室2厅,116.52平米,西 西北,毛坯,低楼层(共25层),,板塔结合,"7,724元/平",90,0人关注,19天以前发布
业主诚心出售，出行方便采光充足视野好,璧山,璧山,半山半园,2室2厅,85.81平米,南,毛坯,高楼层(共33层),,塔楼,"4,662元/平",40,2人关注,5天以前发布
中间层格局好，绿化好，出门就是南门唐城街和公园,璧山,璧山,金科中央公园城（璧山）3号4号门,3室1厅,96.8平米,东南,精装,高楼层(共26层),,塔楼,"9,298元/平",90,0人关注,19天以前发布
4A级湿地公园品质小区，大四房业主诚心出售,璧山,璧山,弘阳昕悦府(二手),4室2厅,149平米,南 北,毛坯,低楼层(共33层),,塔楼,"6,712元/平",100,3人关注,19天以前发布
秋实学府清水2房，户型方正，视野好。,璧山,璧山,秋实学府,2室2厅,67.58平米,南,毛坯,高楼层(共28层),,塔楼,"7,384元/平",49.9,10人关注,2个月以前发布
嘉陵春和景明清水洋房4房正看湖，朝南看湖。,璧山,璧山,嘉陵春和景明,4室3厅,157.23平米,南,毛坯,高楼层(共11层),2015年建,板楼,"7,124元/平",112,11人关注,3个月以前发布
小区环境好，提前联系，随时可看，诚心出售,璧山,璧山,嘉陵春和景明99号,2室1厅,77.57平米,南,毛坯,中楼层(共33层),,塔楼,"6,704元/平",52,3人关注,1个月以前发布
金科品质新小区，小高层，房子户型方正，出行便捷,璧山,璧山,金科天壹府,3室2厅,100.1平米,北,毛坯,中楼层(共17层),,塔楼,"7,593元/平",76,0人关注,11天以前发布
金谷温泉城   住家舒适  交通方便,璧山,璧山,金谷温泉城,2室1厅,81.19平米,西,精装,低楼层(共32层),,板塔结合,"6,836元/平",55.5,5人关注,9个月以前发布
碧波水岸出行方便，交通便利，环境优美,璧山,璧山,奥康碧波水岸,3室1厅,110.37平米,南,精装,低楼层(共7层),,暂无数据,"5,038元/平",55.6,11人关注,5个月以前发布
此房有高铁站 成渝高速路口 上道口下道口,璧山,璧山,半山半园,2室1厅,85.61平米,东南,毛坯,低楼层(共33层),2013年建,塔楼,"3,622元/平",31,23人关注,10个月以前发布
户型方正，视野开阔，网红*简风格,璧山,璧山,福兴二街,4室3厅,138平米,东南,精装,高楼层(共5层),2014年建,板塔结合,"4,189元/平",57.8,34人关注,3个月以前发布
金科精装房子望中庭物业小区环境好,璧山,璧山,金科中央公园城（璧山）5号6号9号门,3室2厅,108.9平米,西,精装,中楼层(共34层),,塔楼,"10,561元/平",115,6人关注,5个月以前发布
户型方正    采光好    业主诚心出售,璧山,璧山,万盛花园,3室2厅,144.24平米,东,简装,中楼层(共5层),,板塔结合,"2,358元/平",34,14人关注,3个月以前发布
金科大盘，金科物业，国家4A级湿地公园旁,璧山,璧山,金科天壹府,3室1厅,100平米,南,毛坯,高楼层(共27层),,塔楼,"6,800元/平",68,3人关注,2个月以前发布
业主换房急售   精品家装房  用的一线大品牌家电,璧山,璧山,俊豪城西区,3室1厅,105.01平米,南,精装,中楼层(共8层),2019年建,板塔结合,"11,714元/平",123,7人关注,18天以前发布
小区位置好 房子户型方正 采光好 生活交通便利 安心卖,璧山,璧山,俊豪城西区,3室2厅,117平米,南,精装,高楼层(共8层),,板塔结合,"11,112元/平",130,1人关注,23天以前发布
秀湖鹭岛洋房 正四房双卫 户型方正,璧山,璧山,秀湖鹭岛,4室2厅,138.78平米,北,毛坯,中楼层(共8层),,板塔结合,"10,088元/平",140,5人关注,4个月以前发布
公安局家属院家装3房1卫 电梯已经装好 电梯入户,璧山,璧山,公安局家属院（璧山）,3室2厅,112平米,东,精装,低楼层(共7层),,板楼,"5,804元/平",65,3人关注,2个月以前发布
央企大盘，品质好配套齐全，绿化好配套齐全出行便利,璧山,璧山,中国铁建东林道,3室1厅,100.51平米,南,毛坯,低楼层(共30层),2020年建,塔楼,"7,562元/平",76,0人关注,4个月以前发布
金谷温泉城 2室1厅 东南,璧山,璧山,金谷温泉城,2室1厅,87.11平米,东南,毛坯,高楼层(共32层),,塔楼,"5,281元/平",46,4人关注,8个月以前发布
视野开阔，采光好，户型方正，大阳台，拎包入住,璧山,璧山,大圆祥山水间小区,2室2厅,77.43平米,东南,精装,低楼层(共30层),,塔楼,"6,264元/平",48.5,0人关注,1个月以前发布
瀛家天下风栖谷，环境绿化好，配套齐全，居家好小区,璧山,璧山,瀛家天下风栖谷,3室2厅,95.38平米,南,精装,低楼层(共7层),,塔楼,"7,130元/平",68,10人关注,1个月以前发布
到公园近，精装房家电家具都有。,璧山,璧山,金冠还建房,3室2厅,90平米,南,精装,高楼层(共7层),,塔楼,"4,612元/平",41.5,8人关注,1个月以前发布
环境好  定居方便      公园旁边,璧山,璧山,中建湖山印象(二手),3室2厅,109平米,南,毛坯,高楼层(共12层),2019年建,板塔结合,"7,982元/平",87,7人关注,3个月以前发布
户型房正 采光良好 环境相当好 配套设施齐全,璧山,璧山,俊豪城西区,3室1厅,105平米,东南,毛坯,中楼层(共8层),,暂无数据,"9,172元/平",96.3,0人关注,4个月以前发布
小区，交通便利，旁边就是古道湾公园，小区环境优美,璧山,璧山,中建湖山印象(二手),3室2厅,110.9平米,西,毛坯,中楼层(共12层),,板塔结合,"8,152元/平",90.4,4人关注,2个月以前发布
此房满二 大平层 古道湾公园旁 自持物业,璧山,璧山,茅莱山居溪岸,4室2厅,178.59平米,南,毛坯,中楼层(共5层),,板塔结合,"9,128元/平",163,4人关注,5个月以前发布
户型方正，中间楼层，看起了可以谈。,璧山,璧山,碧桂园翡翠城,2室2厅,78平米,东南,毛坯,低楼层(共32层),,塔楼,"7,052元/平",55,6人关注,24天以前发布
碧桂园翡翠城的毛坯2房，看中庭看东岳体育公园的湖。,璧山,璧山,碧桂园翡翠城,2室1厅,82平米,东北,毛坯,高楼层(共32层),2014年建,塔楼,"7,415元/平",60.8,3人关注,17天以前发布
恒大绿岛新城 3室2厅 南,璧山,璧山,恒大绿岛新城,3室2厅,98平米,南,精装,低楼层(共27层),,板塔结合,"9,286元/平",91,0人关注,2个月以前发布
学府居南苑 2室2厅 南 北,璧山,璧山,学府居南苑,2室2厅,84平米,南 北,简装,中楼层(共8层),2008年建,板塔结合,"5,060元/平",42.5,4人关注,27天以前发布
自带幼儿园 ，出行方便，采光充足，户型方正,璧山,璧山,秋实学府,2室1厅,78.75平米,东南,毛坯,低楼层(共22层),,塔楼,"7,607元/平",59.9,3人关注,16天以前发布
春和景明正3房，户型方正，朝南,璧山,璧山,嘉陵春和景明99号,3室2厅,100平米,南,毛坯,高楼层(共30层),,塔楼,"6,500元/平",65,1人关注,2个月以前发布
户型方正采光充足碧桂园清水大三房,璧山,璧山,碧桂园翡翠城,3室2厅,98平米,南,毛坯,低楼层(共32层),2020年建,塔楼,"6,735元/平",66,9人关注,2个月以前发布
恒大绿岛新城精装装两房，免增值税,璧山,璧山,恒大绿岛新城,2室1厅,68平米,南,精装,中楼层(共32层),2016年建,板塔结合,"9,706元/平",66,3人关注,3个月以前发布
此房是品质区 金科自己的物业 24时舒适安全,璧山,璧山,金科天壹府,3室2厅,100.1平米,北 南,毛坯,高楼层(共17层),,板塔结合,"7,093元/平",71,5人关注,1个月以前发布
正望秀湖公园 云吧站点旁 三室两厅两卫 精装房,璧山,璧山,金科中央公园城（璧山）3号4号门,3室2厅,110.97平米,南,精装,高楼层(共26层),,塔楼,"9,372元/平",104,8人关注,3个月以前发布
碧桂园翡翠城 朝中庭 正两房 采光充足  业主急售,璧山,璧山,碧桂园翡翠城,2室2厅,79平米,南,毛坯,中楼层(共32层),2019年建,塔楼,"7,697元/平",60.8,0人关注,2个月以前发布
绿岛新区标准精装修大两房，出行方便，紧挨公园。,璧山,璧山,嘉陵春和景明99号,2室2厅,100平米,东南,精装,高楼层(共30层),,板塔结合,"6,780元/平",67.8,2人关注,3个月以前发布
璧山儿童公园旁，采光明亮，交通便利，配套设施齐全,璧山,璧山,富力白鹭湾澜廷,4室1厅,123.08平米,南 北,毛坯,中楼层(共16层),,板塔结合,"7,557元/平",93,0人关注,1个月以前发布
春和景明99的小户型1房，清水户型，出门公园。,璧山,璧山,嘉陵春和景明99号,1室1厅,58平米,南,毛坯,高楼层(共33层),,板塔结合,"6,552元/平",38,2人关注,1个月以前发布
春和景明，小区环境好，业主诚心出售。,璧山,璧山,嘉陵春和景明,2室2厅,81平米,东南,毛坯,高楼层(共28层),,板塔结合,"6,544元/平",53,5人关注,3个月以前发布
交通便捷，商圈旁，证在手，安全放心，,璧山,璧山,嘉陵春和景明99号,1室1厅,58平米,东南,其他,中楼层(共30层),,板塔结合,"6,638元/平",38.5,1人关注,1个月以前发布
春和景明，绿化好，小区环境好，交通方便。,璧山,璧山,嘉陵春和景明,2室2厅,85.5平米,东,其他,高楼层(共28层),,板塔结合,"5,965元/平",51,3人关注,3个月以前发布
远林雅宇豪苑，两室一卫，住家装修，,璧山,璧山,远林雅宇豪苑,2室2厅,85平米,东南,简装,中楼层(共8层),2012年建,板塔结合,"4,000元/平",34,2人关注,1个月以前发布
供电局家属院 3室2厅 东南,璧山,璧山,供电局家属院,3室2厅,112平米,东南,简装,中楼层(共7层),,板塔结合,"3,661元/平",41,0人关注,3个月以前发布
桓大金和丽景A区 4室2厅 西,璧山,璧山,桓大金和丽景A区,4室2厅,169.98平米,西,简装,高楼层(共7层),,塔楼,"5,178元/平",88,0人关注,8天以前发布
春和景明99号  业主诚心出售   望中庭,璧山,璧山,嘉陵春和景明99号,3室2厅,99.82平米,东南,精装,低楼层(共30层),,板塔结合,"8,596元/平",85.8,1人关注,2天以前发布
枫香湖儿童公园旁，小洋楼，金科品质大盘，配套齐全出,璧山,璧山,金科昆翔黛山悦府二期(二手),3室1厅,87.76平米,北,毛坯,中楼层(共16层),,板塔结合,"9,002元/平",79,0人关注,4天以前发布
大客厅 大阳台 户型方正 采光巴适 配套成熟,璧山,璧山,锦春绿岛,3室2厅,118.75平米,西南,精装,高楼层(共33层),,板塔结合,"8,236元/平",97.8,0人关注,13天以前发布
东岳公园旁  俊豪城西区  大平层 毛坯4房,璧山,璧山,俊豪城西区,4室2厅,147.1平米,南,其他,中楼层(共18层),,板塔结合,"11,217元/平",165,0人关注,4天以前发布
轻轨站旁边的品质小区，近轻轨站，户型方正。,璧山,璧山,中国铁建香漫溪岸,3室1厅,95.01平米,南 北,毛坯,中楼层(共30层),,板塔结合,"8,210元/平",78,0人关注,21天以前发布
业主急售，住家装修，拎包入住。,璧山,璧山,秋实学府,2室1厅,68.64平米,东北,其他,低楼层(共27层),,塔楼,"9,179元/平",63,0人关注,3天以前发布
瀚恩阳光 6室2厅 南 北,璧山,璧山,瀚恩阳光,6室2厅,316平米,南 北,其他,中楼层(共6层),2002年建,板塔结合,"3,988元/平",126,3人关注,9天以前发布
白云湖精装端户联排别墅，200平花园给你，3+1结构,璧山,璧山,东亚白云湖,5室2厅,319.23平米,北,精装,低楼层(共3层),2012年建,板楼,"7,988元/平",255,21人关注,一年前发布
户型好，全望公园，住家装修有保障，带一个9万车位,璧山,璧山,弘阳昕悦府(二手),3室2厅,116.03平米,东,精装,中楼层(共33层),2019年建,塔楼,"9,912元/平",115,0人关注,10天以前发布
阳光水岸 3室2厅2卫清水房 户型方正采光良好 诚心出售,璧山,璧山,奥康阳光水岸,3室2厅,125.03平米,南,毛坯,低楼层(共31层),,塔楼,"5,679元/平",71,1人关注,11天以前发布
小区环境优美，户型设计方正，出门就是秀湖公园,璧山,璧山,金科中央公园城（璧山）10号门,3室1厅,89.95平米,东 东南 西,毛坯,高楼层(共7层),2016年建,塔楼,"10,006元/平",90,0人关注,8天以前发布
春和景明凤凰楼层  采光好  业主诚心出售,璧山,璧山,嘉陵春和景明,2室1厅,86.59平米,东南,毛坯,低楼层(共33层),,板塔结合,"6,930元/平",60,0人关注,13天以前发布
璧南河畔 兰河1号 精装两房 环境优美 出行方便,璧山,璧山,鸥鹏璧兰河1号,2室2厅,75.47平米,西南 南,精装,高楼层(共32层),,塔楼,"9,276元/平",70,0人关注,4天以前发布
桓大东方国际 3室2厅 西北,璧山,璧山,桓大东方国际,3室2厅,108.53平米,西北,精装,高楼层(共33层),,塔楼,"7,280元/平",79,0人关注,7天以前发布
秀湖鹭岛优质上叠，现浇已做好，视野开阔实得面积大,璧山,璧山,秀湖鹭岛,6室2厅,141.5平米,东南,毛坯,4层,板塔结合,联排别墅,"15,110元/平",213.8,0人关注,6天以前发布
秀湖公园，金科品质，大三房双卫，配套成熟,璧山,璧山,金科中央公园城（璧山）5号6号9号门,3室1厅,107平米,南,毛坯,高楼层(共34层),,塔楼,"8,300元/平",88.8,0人关注,6天以前发布
天佑山水国际 3室1厅 东南,璧山,璧山,天佑山水国际,3室1厅,131.89平米,东南,其他,低楼层(共18层),,塔楼,"5,763元/平",76,0人关注,8天以前发布
壁南河畔清水三房，出门南河走廊业主诚心出售,璧山,璧山,璧河名都,3室2厅,116.41平米,东 南 北,其他,高楼层(共32层),2014年建,板塔结合,"7,388元/平",86,0人关注,7天以前发布
璧河名都 4室1厅 南,璧山,璧山,璧河名都,4室1厅,120.7平米,南,其他,高楼层(共32层),,板塔结合,"8,186元/平",98.8,0人关注,4天以前发布
